Rk,Player,PTS,Draft Team,Round,Pick,Draft Year,Draft College,Season,Team,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Class,-9999
21,Alphonso Ford,915,PHI,2,32,1993,Mississippi Valley State,1990-91,Mississippi Valley State,28,27,33.4,11.6,23.9,8.5,14.6,3.1,9.3,6.4,8.4,3.5,2.5,6.0,1.4,2.2,0.1,2.6,2.9,32.7,.487,.586,.331,.765,.587,.551,G,SO,alphonso-ford-1
22,Lionel Simmons,908,SAC,1,7,1990,La Salle,1988-89,La Salle,32,32,38.9,10.9,22.4,10.3,20.6,0.7,1.8,5.9,8.3,3.8,7.6,11.4,3.0,1.7,1.9,2.9,2.2,28.4,.487,.497,.375,.711,.539,.502,F,JR,lionel-simmons-1
23,Lindsey Hunter Jr,907,DET,1,10,1993,Jackson State,1992-93,Jackson State,34,34,33.9,9.4,22.9,6.1,13.2,3.3,9.6,4.6,5.9,,,3.4,3.4,2.6,0.4,2.8,1.9,26.7,.412,.463,.341,.771,.520,.484,G,SR,lindsey-hunter-1
24,Armen Gilliam,903,PHO,1,2,1987,UNLV,1986-87,UNLV,39,39,32.3,9.2,15.3,9.2,15.3,0.0,0.0,4.7,6.5,,,9.3,0.9,1.4,0.9,1.8,2.4,23.2,.600,.600,,.728,.628,.600,F,SR,armen-gilliam-1
25,David Robinson,903,SAS,1,1,1987,Navy,1986-87,Navy,32,32,34.6,10.9,18.5,10.9,18.5,0.0,0.0,6.3,9.9,,,11.8,1.0,2.1,4.5,2.2,2.7,28.2,.591,.591,1.000,.637,.608,.592,C,SR,david-robinson-1
26,Kevin Durant,903,OKC,1,2,2007,Texas,2006-07,Texas,35,35,35.9,8.7,18.5,6.4,12.7,2.3,5.8,6.0,7.3,3.0,8.1,11.1,1.3,1.9,1.9,2.8,2.0,25.8,.473,.505,.404,.816,.587,.536,F,FR,kevin-durant-1
27,Mahmoud Abdul-Rauf,889,DEN,1,3,1990,Louisiana State,1989-90,Louisiana State,32,,37.6,9.5,20.7,6.8,13.0,2.8,7.7,6.0,6.6,,,2.5,3.2,1.6,0.0,3.7,2.1,27.8,.461,.522,.358,.910,.584,.527,G,SO,mahmoud-abdul-rauf-1
28,Tyler Hansbrough,882,IND,1,13,2009,North Carolina,2007-08,North Carolina,39,39,33.0,7.4,13.7,7.4,13.5,0.0,0.2,7.8,9.7,3.9,6.4,10.2,0.9,1.5,0.4,2.1,2.4,22.6,.540,.547,.000,.806,.618,.540,F,JR,tyler-hansbrough-1
29,Lester Hudson,880,BOS,2,58,2009,UT Martin,2008-09,UT Martin,32,32,36.0,9.8,21.8,6.5,12.4,3.3,9.3,4.6,5.3,2.2,5.8,7.9,4.2,2.3,0.6,3.3,2.7,27.5,.449,.520,.355,.881,.566,.525,G,SR,lester-hudson-1
30,Andrew Goudelock,877,LAL,2,46,2011,College of Charleston,2010-11,College of Charleston,37,37,35.2,8.6,18.9,5.1,10.2,3.5,8.7,3.0,3.6,0.7,3.2,3.9,4.2,0.9,0.2,3.2,1.8,23.7,.455,.496,.407,.821,.575,.549,G,SR,andrew-goudelock-1
