Rk,Player,PTS,Draft Team,Round,Pick,Draft Year,Draft College,Season,Team,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Class,-9999
903,David Little,612,DEN,3,61,1983,Oklahoma,1981-82,Oklahoma,33,32,34.1,7.0,15.1,7.0,15.1,,,4.5,5.5,,,5.0,3.2,1.7,0.2,2.4,3.2,18.5,.465,.465,,.829,.525,.465,F,JR,david-little-2
904,E'Twaun Moore,612,BOS,2,55,2011,Purdue,2010-11,Purdue,34,33,33.9,6.5,14.5,4.4,9.4,2.1,5.1,2.9,4.1,1.5,3.6,5.1,3.2,1.2,0.5,1.8,2.1,18.0,.447,.473,.400,.709,.545,.518,G,SR,etwaun-moore-1
905,Jordan Clarkson,612,WAS,2,46,2014,Missouri,2013-14,Missouri,35,35,35.1,6.0,13.3,5.1,10.1,0.9,3.3,4.6,5.6,0.8,3.0,3.8,3.4,1.1,0.2,2.7,2.2,17.5,.448,.501,.281,.831,.547,.482,G,JR,jordan-clarkson-1
906,Morris Almond,612,UTA,1,25,2007,Rice,2005-06,Rice,28,24,32.3,8.0,16.0,6.3,12.1,1.7,3.9,4.1,5.2,1.8,2.3,4.1,1.1,1.4,0.7,2.9,2.4,21.9,.500,.518,.444,.795,.591,.554,G,JR,morris-almond-1
907,Tim Duncan,612,SAS,1,1,1997,Wake Forest,1995-96,Wake Forest,32,32,37.2,7.1,12.8,6.9,12.1,0.2,0.7,4.7,6.8,,,12.3,2.9,0.7,3.8,3.3,2.3,19.1,.555,.570,.304,.687,.595,.563,C,JR,tim-duncan-1
908,Damion James,611,ATL,1,24,2010,Texas,2009-10,Texas,34,34,30.3,6.2,12.3,5.1,9.6,1.1,2.8,4.6,6.8,3.1,7.1,10.3,1.0,1.7,1.2,2.0,2.9,18.0,.501,.535,.383,.674,.578,.544,F,SR,damion-james-1
909,Desmond Mason,611,OKC,1,17,2000,Oklahoma State,1999-00,Oklahoma State,34,34,35.4,6.2,12.4,4.3,8.1,1.9,4.4,3.7,4.8,1.6,5.0,6.6,1.5,1.2,1.0,1.8,2.0,18.0,.499,.536,.430,.767,.610,.574,F,SR,desmond-mason-1
910,John Bagley,611,CLE,1,12,1982,Boston College,1980-81,Boston College,30,29,32.2,7.0,13.9,7.0,13.9,,,6.4,8.2,,,3.8,3.4,1.8,0.1,4.6,2.4,20.4,.500,.500,,.788,.572,.500,G,SO,john-bagley-1
911,Michael Cutright,611,DEN,2,42,1989,McNeese State,1988-89,McNeese State,30,,34.3,7.9,16.8,6.2,12.0,1.7,4.8,3.1,3.7,,,5.2,2.6,1.6,0.4,2.7,2.5,20.4,.471,.519,.350,.836,.550,.521,G,SR,michael-cutright-1
912,Mike Morrison,611,PHO,2,51,1989,Loyola (MD),1988-89,Loyola (MD),28,,31.4,8.1,16.3,6.9,12.9,1.2,3.4,4.5,6.0,,,5.4,2.1,1.3,0.5,2.2,2.5,21.8,.496,.536,.344,.746,.570,.532,G,SR,mike-morrison-1
913,Orlando Johnson,611,SAC,2,36,2012,UC Santa Barbara,2011-12,UC Santa Barbara,31,31,34.4,6.7,14.8,4.4,9.5,2.3,5.3,4.1,5.9,1.7,4.1,5.8,2.9,1.1,0.7,2.5,1.8,19.7,.451,.464,.427,.698,.560,.527,G,SR,orlando-johnson-1
914,Pat Durham,611,DAL,2,35,1989,Colorado State,1988-89,Colorado State,33,33,37.7,5.9,11.3,5.9,11.2,0.0,0.1,6.6,8.8,,,7.6,2.0,1.6,1.3,2.8,2.2,18.5,.524,.527,.250,.752,.597,.525,F,SR,pat-durham-1
915,Rod Grizzard,611,WAS,2,39,2002,Alabama,2000-01,Alabama,36,36,31.8,5.5,13.8,3.5,7.8,1.9,5.9,4.1,5.0,1.7,4.4,6.1,2.1,1.1,1.1,2.5,2.6,17.0,.398,.452,.327,.812,.526,.469,G,SO,rod-grizzard-1
916,Sam Clancy,611,PHI,2,45,2002,Southern California,2001-02,Southern California,32,31,37.6,7.4,14.9,7.3,14.9,0.0,0.1,4.3,6.9,3.1,6.4,9.4,1.7,1.8,1.5,1.7,3.1,19.1,.494,.494,.500,.624,.524,.495,F,SR,sam-clancy-1
917,Admiral Schofield,610,PHI,2,42,2019,Tennessee,2018-19,Tennessee,37,37,31.8,6.4,13.6,4.4,8.8,2.0,4.8,1.6,2.3,1.2,5.0,6.1,2.0,0.9,0.5,1.9,2.5,16.5,.474,.505,.418,.698,.562,.548,G,SR,admiral-schofield-1
918,Alec Kessler,610,HOU,1,12,1990,Georgia,1989-90,Georgia,29,,33.4,6.8,13.9,6.3,12.7,0.5,1.2,6.9,9.1,,,10.3,1.3,0.7,0.5,3.5,3.1,21.0,.491,.497,.429,.757,.578,.510,C,SR,alec-kessler-1
919,Anthony Edwards,610,MIN,1,1,2020,Georgia,2019-20,Georgia,32,32,33.0,6.3,15.8,4.1,8.1,2.3,7.7,4.1,5.3,0.8,4.5,5.2,2.8,1.3,0.6,2.7,2.2,19.1,.402,.504,.294,.772,.520,.473,G,FR,anthony-edwards-2
920,Buddy Hield,610,NOH,1,6,2016,Oklahoma,2014-15,Oklahoma,35,35,32.4,5.9,14.2,3.2,6.8,2.7,7.4,3.1,3.7,1.6,3.8,5.4,1.9,1.3,0.2,1.9,1.7,17.4,.412,.469,.359,.823,.545,.505,G,JR,buddy-hield-1
921,Elliot Williams,610,POR,1,22,2010,Memphis,2009-10,Memphis,34,34,33.3,5.2,11.4,3.5,6.6,1.8,4.8,5.7,7.5,0.7,3.2,4.0,3.8,1.3,0.1,2.9,2.0,17.9,.459,.527,.366,.758,.599,.536,G,SO,elliot-williams-1
922,Gerald Henderson,610,CHA,1,12,2009,Duke,2008-09,Duke,37,36,29.7,5.8,12.8,4.6,9.5,1.1,3.3,3.9,5.1,1.2,3.7,4.9,2.5,1.2,0.8,2.2,1.7,16.5,.450,.490,.336,.761,.542,.494,G,JR,gerald-henderson-2
923,Allan Houston,609,DET,1,11,1993,Tennessee,1989-90,Tennessee,30,30,36.1,6.8,15.5,4.0,9.1,2.8,6.4,4.0,5.0,,,2.9,4.2,1.2,0.4,3.4,2.3,20.3,.437,.440,.432,.805,.568,.526,G,FR,allan-houston-1
924,Butch Graves Jr,609,PHI,3,68,1984,Yale,1983-84,Yale,26,26,37.2,9.5,19.9,9.5,19.9,,,4.5,6.8,,,5.8,3.0,1.5,0.3,4.1,3.5,23.4,.475,.475,,.657,.505,.475,G,SR,butch-graves-1
925,Elijah Hughes,609,NOH,2,39,2020,Syracuse,2019-20,Syracuse,32,32,36.7,6.2,14.5,3.8,7.4,2.4,7.1,4.2,5.2,0.4,4.5,4.9,3.4,1.2,0.8,2.3,1.8,19.0,.427,.508,.342,.813,.561,.511,F,JR,elijah-hughes-1
926,James Posey,609,DEN,1,18,1999,Xavier,1998-99,Xavier,36,36,35.2,5.3,10.9,4.0,7.2,1.3,3.6,5.0,6.1,,,8.9,2.3,2.8,0.9,3.3,3.4,16.9,.488,.550,.366,.814,.615,.550,F,SR,james-posey-1
927,Jay Vincent,609,DAL,2,24,1981,Michigan State,1980-81,Michigan State,27,27,37.1,9.6,19.3,9.6,19.3,,,3.4,5.2,,,8.5,1.9,1.0,0.4,,3.6,22.6,.496,.496,,.645,.517,.496,F,SR,jay-vincent-1
928,Jerrod Mustaf,609,NYK,1,17,1990,Maryland,1989-90,Maryland,33,33,31.8,7.2,13.5,6.8,12.9,0.3,0.6,3.8,5.0,,,7.7,1.8,0.5,0.7,2.7,2.0,18.5,.529,.531,.500,.774,.581,.540,F,SO,jerrod-mustaf-1
929,Klay Thompson,609,GSW,1,11,2011,Washington State,2009-10,Washington State,31,30,35.4,6.5,15.6,4.0,8.9,2.5,6.7,4.3,5.4,1.2,3.9,5.1,2.3,1.4,0.7,3.4,2.4,19.6,.412,.449,.364,.801,.540,.491,G,SO,klay-thompson-1
930,Kyle Singler,609,DET,2,33,2011,Duke,2008-09,Duke,37,36,32.2,5.6,12.8,3.8,7.9,1.9,4.9,3.4,4.7,3.0,4.6,7.7,2.4,1.5,1.0,2.5,2.7,16.5,.441,.476,.383,.713,.549,.514,F,SO,kyle-singler-1
931,Norris Coleman,609,LAC,2,38,1987,Kansas State,1985-86,Kansas State,28,28,35.4,9.1,17.5,9.1,17.5,,,3.6,4.9,,,8.0,0.8,0.9,1.0,1.5,2.3,21.8,.518,.518,,.743,.549,.518,F,FR,norris-coleman-1
932,Patrick Patterson,609,HOU,1,14,2010,Kentucky,2008-09,Kentucky,34,34,33.7,7.1,11.7,7.1,11.7,0.0,0.0,3.8,4.9,2.7,6.6,9.3,2.0,0.6,2.1,1.9,2.2,17.9,.603,.605,.000,.768,.637,.603,F,SO,patrick-patterson-1
933,Rex Chapman,609,CHA,1,8,1988,Kentucky,1987-88,Kentucky,32,31,34.6,7.2,14.4,5.2,9.4,2.1,5.0,2.5,3.2,,,2.9,3.7,1.7,0.5,2.7,1.9,19.0,.501,.546,.415,.794,.598,.573,G,SO,rex-chapman-1
934,Scoonie Penn,609,ATL,2,57,2000,Ohio State,1998-99,Ohio State,36,36,34.6,5.6,12.5,3.2,6.1,2.4,6.4,3.3,4.4,0.5,3.4,3.9,4.3,1.9,0.1,2.7,2.2,16.9,.449,.516,.384,.741,.580,.547,G,JR,scoonie-penn-1
935,Sean Singletary,609,SAC,2,42,2008,Virginia,2006-07,Virginia,32,32,33.3,5.3,13.3,2.8,6.9,2.5,6.3,5.9,6.8,1.1,3.5,4.6,4.7,1.2,0.0,3.1,2.5,19.0,.400,.410,.389,.872,.576,.493,G,JR,sean-singletary-1
936,Shelvin Mack,609,WAS,2,34,2011,Butler,2010-11,Butler,38,37,32.1,5.3,13.0,3.0,6.5,2.3,6.5,3.2,4.1,0.7,3.8,4.5,3.4,0.8,0.1,2.4,1.7,16.0,.408,.462,.354,.769,.537,.496,G,JR,shelvin-mack-1
937,Arron Afflalo,608,DET,1,27,2007,UCLA,2006-07,UCLA,36,36,32.9,5.8,12.7,3.4,6.2,2.4,6.4,2.8,3.5,0.4,2.3,2.8,1.9,0.6,0.2,1.8,1.8,16.9,.461,.549,.375,.802,.589,.556,G,JR,arron-afflalo-1
938,Cameron Johnson,608,MIN,1,11,2019,North Carolina,2018-19,North Carolina,36,36,29.9,5.9,11.6,3.2,5.8,2.7,5.8,2.5,3.1,1.8,3.9,5.8,2.4,1.2,0.3,1.5,1.5,16.9,.506,.556,.457,.818,.648,.621,G,SR,cameron-johnson-4
939,Curtis Blair,608,HOU,2,53,1992,Richmond,1991-92,Richmond,30,,37.3,7.1,15.1,5.1,10.4,2.0,4.7,4.2,5.3,,,4.6,2.8,0.9,0.2,2.0,1.9,20.3,.468,.490,.418,.791,.576,.533,G,SR,curtis-blair-1
940,Dion Glover,608,ATL,1,20,1999,Georgia Tech,1997-98,Georgia Tech,33,33,35.2,6.7,15.2,5.4,10.2,1.4,5.0,3.6,5.6,,,5.0,2.6,2.1,0.2,3.6,2.0,18.4,.441,.525,.271,.640,.514,.486,G,FR,dion-glover-1
941,Doug West,608,MIN,2,38,1989,Villanova,1988-89,Villanova,33,33,34.5,6.8,14.8,4.8,9.4,2.0,5.4,2.7,3.8,,,4.9,2.8,1.4,0.5,2.4,3.0,18.4,.463,.514,.373,.720,.555,.531,G,SR,doug-west-1
942,John Battle,608,ATL,4,84,1985,Rutgers,1984-85,Rutgers,29,29,35.1,8.0,16.2,7.4,14.2,0.6,2.0,4.4,6.1,,,4.0,2.6,0.5,0.2,,2.6,21.0,.491,.519,.293,.729,.549,.510,G,SR,john-battle-1
943,Keith Hughes,608,HOU,2,47,1991,Rutgers,1990-91,Rutgers,29,29,35.7,7.3,16.7,6.0,13.1,1.3,3.6,5.0,7.6,,,10.0,0.9,0.6,1.0,2.2,2.6,21.0,.439,.459,.365,.652,.515,.478,F,SR,keith-hughes-1
944,Keith Smith,608,MIL,2,45,1986,Loyola Marymount,1985-86,Loyola Marymount,29,29,34.7,8.2,16.4,8.2,16.4,,,4.6,5.9,,,1.8,7.0,1.3,0.2,3.6,2.6,21.0,.500,.500,,.767,.545,.500,G,SR,keith-smith-2
945,Marcus Thornton,608,MIA,2,43,2009,Louisiana State,2007-08,Louisiana State,31,30,33.6,6.8,15.7,3.9,8.0,2.9,7.7,3.0,3.7,2.0,3.6,5.6,1.4,1.4,0.3,2.2,2.0,19.6,.436,.494,.377,.817,.562,.529,G,JR,marcus-thornton-1
946,Patrick Ewing,608,NYK,1,1,1985,Georgetown,1983-84,Georgetown,37,33,31.9,6.5,9.9,6.5,9.9,,,3.4,5.1,,,10.0,0.8,0.9,3.6,2.4,2.6,16.4,.658,.658,,.656,.664,.658,C,JR,patrick-ewing-1
947,Reggie Smith,608,POR,2,31,1992,TCU,1991-92,TCU,34,,33.4,6.6,12.5,6.6,12.5,0.0,0.1,4.6,7.6,,,11.4,2.1,0.9,0.9,2.4,3.9,17.9,.528,.531,.000,.615,.555,.528,F,SR,reggie-smith-1
948,Steve Mitchell,608,WAS,2,36,1986,UAB,1985-86,UAB,36,36,36.6,7.1,15.9,7.1,15.9,,,2.6,3.7,,,3.9,5.1,1.4,0.1,2.4,1.6,16.9,.447,.447,,.701,.477,.447,G,SR,steve-mitchell-1
949,Allen Crabbe,607,CLE,2,31,2013,California,2012-13,California,33,33,36.2,6.5,14.2,4.6,8.6,1.9,5.6,3.4,4.2,1.0,5.1,6.1,2.6,1.1,0.7,2.5,2.1,18.4,.459,.532,.348,.813,.568,.528,G,JR,allen-crabbe-1
950,Dan Palombizio,607,PHI,7,159,1986,Ball State,1985-86,Ball State,30,30,35.7,6.9,14.6,6.9,14.6,,,6.5,7.7,,,10.1,1.5,0.6,0.6,2.7,3.5,20.2,.469,.469,,.848,.554,.469,F,SR,dan-palombizio-1
951,Darius Songaila,607,BOS,2,50,2002,Wake Forest,2001-02,Wake Forest,34,34,30.5,6.0,11.5,5.8,11.0,0.2,0.5,5.7,6.6,2.2,5.9,8.1,2.6,1.3,0.8,3.5,3.1,17.9,.523,.529,.375,.854,.610,.531,F,SR,darius-songaila-1
952,DeJuan Wheat,607,LAL,2,52,1997,Louisville,1996-97,Louisville,35,34,34.9,5.5,13.0,2.7,5.2,2.8,7.8,3.5,4.8,,,2.2,4.3,1.9,0.1,2.6,1.6,17.3,.425,.527,.357,.743,.569,.532,G,SR,dejuan-wheat-1
953,Derrick Dial,607,SAS,2,52,1998,Eastern Michigan,1997-98,Eastern Michigan,29,,35.5,7.7,15.8,4.9,9.0,2.7,6.8,2.9,3.7,,,6.7,2.3,1.3,0.9,2.1,2.3,20.9,.484,.548,.399,.785,.595,.570,G,SR,derrick-dial-1
954,Ike Diogu,607,GSW,1,9,2005,Arizona State,2002-03,Arizona State,32,32,32.2,6.5,10.8,6.3,10.0,0.3,0.8,5.6,7.7,3.1,4.7,7.8,0.8,0.3,1.0,2.8,2.9,19.0,.608,.625,.375,.735,.659,.621,F,FR,ike-diogu-1
955,JamesOn Curry,607,CHI,2,51,2007,Oklahoma State,2006-07,Oklahoma State,35,35,37.0,5.8,12.8,3.3,6.7,2.5,6.1,3.3,4.1,0.4,2.7,3.2,3.7,1.2,0.3,3.1,2.1,17.3,.452,.489,.411,.793,.588,.550,G,JR,jameson-curry-1
956,Jim McCaffrey,607,PHO,6,123,1986,Holy Cross,1984-85,Holy Cross,28,28,,7.9,16.3,7.9,16.3,,,5.8,7.5,,,2.3,4.3,1.2,0.1,4.6,3.5,21.7,.487,.487,,.776,.546,.487,G,JR,jim-mccaffrey-1
957,Joe Alexander,607,MIL,1,8,2008,West Virginia,2007-08,West Virginia,36,34,31.6,6.1,13.2,5.8,12.0,0.3,1.1,4.4,5.4,1.9,4.5,6.4,2.4,0.7,1.5,2.2,2.9,16.9,.462,.480,.268,.814,.536,.474,G,JR,joe-alexander-1
958,Keith Benson,607,ATL,2,48,2011,Oakland,2009-10,Oakland,35,35,31.3,5.9,11.1,5.9,11.0,0.1,0.1,5.4,7.5,3.2,7.3,10.5,0.8,0.4,3.3,1.7,3.0,17.3,.533,.535,.400,.724,.590,.536,C,JR,keith-benson-1
959,Keith Lee,607,CHI,1,11,1985,Memphis State,1983-84,Memphis State,33,,34.5,7.4,13.7,7.4,13.7,,,3.5,4.6,,,10.8,2.1,0.8,2.3,2.3,3.2,18.4,.541,.541,,.775,.578,.541,F,JR,keith-lee-1
960,Matt Freije,607,MIA,2,53,2004,Vanderbilt,2003-04,Vanderbilt,33,33,29.8,5.6,13.5,3.7,8.2,1.9,5.3,5.3,6.7,2.0,3.4,5.4,0.9,0.7,0.6,1.0,1.6,18.4,.415,.452,.356,.788,.550,.484,F,SR,matt-freije-1
961,Michael Jordan,607,CHI,1,3,1984,North Carolina,1983-84,North Carolina,31,,29.5,8.0,14.5,8.0,14.5,,,3.6,4.7,,,5.3,2.1,1.6,1.1,2.2,2.3,19.6,.551,.551,,.779,.587,.551,G,JR,michael-jordan-1
962,Rodney Carney,607,CHI,1,16,2006,Memphis,2004-05,Memphis,38,28,29.8,5.6,13.7,3.6,7.5,2.0,6.2,2.9,3.7,1.7,3.3,5.0,1.2,1.0,0.7,1.4,2.1,16.0,.407,.474,.325,.773,.518,.480,F,JR,rodney-carney-1
963,Sleepy Floyd,607,NJN,1,13,1982,Georgetown,1980-81,Georgetown,32,32,34.8,7.4,15.9,7.4,15.9,,,4.2,5.2,,,4.2,2.6,1.9,0.3,3.4,2.3,19.0,.467,.467,,.806,.518,.467,G,JR,sleepy-floyd-1
964,Travis Best,607,IND,1,23,1995,Georgia Tech,1994-95,Georgia Tech,30,30,37.2,7.0,15.6,4.5,9.2,2.4,6.4,3.9,4.6,,,3.2,5.0,2.0,0.2,2.3,2.4,20.2,.446,.491,.380,.847,.568,.523,G,SR,travis-best-1
965,Anthony Avent,606,ATL,1,15,1991,Seton Hall,1990-91,Seton Hall,34,34,32.8,6.7,11.6,6.7,11.6,0.0,0.0,4.4,5.9,3.7,6.2,9.9,1.6,0.9,1.2,2.7,3.0,17.8,.577,.577,,.750,.618,.577,F,SR,anthony-avent-1
966,Butch Graves Jr,606,PHI,3,68,1984,Yale,1982-83,Yale,26,,38.3,8.6,16.4,8.6,16.4,,,6.2,8.7,,,6.4,4.0,,,,3.2,23.3,.522,.522,,.705,.567,.522,G,JR,butch-graves-1
967,Darnell Mee,606,GSW,2,34,1993,Western Kentucky,1992-93,Western Kentucky,32,32,33.3,6.3,14.4,4.0,8.1,2.3,6.3,4.2,5.9,1.9,4.1,6.0,3.3,3.1,1.1,2.7,3.1,18.9,.434,.492,.360,.707,.551,.513,G,SR,darnell-mee-1
968,Doug Christie,606,OKC,1,17,1992,Pepperdine,1991-92,Pepperdine,31,31,34.1,6.8,14.6,5.5,10.7,1.3,3.9,4.6,6.2,1.5,4.4,5.9,4.8,2.0,0.7,3.8,2.5,19.5,.466,.514,.333,.746,.556,.510,G,SR,doug-christie-1
969,Jayson Williams,606,PHO,1,21,1990,St. John's (NY),1988-89,St. John's (NY),31,,33.4,7.6,13.3,7.6,13.2,0.0,0.1,4.3,6.2,,,7.9,0.6,0.5,1.0,2.7,2.9,19.5,.573,.576,.000,.702,.603,.573,F,JR,jayson-williams-1
970,Josh Howard,606,DAL,1,29,2003,Wake Forest,2002-03,Wake Forest,31,31,32.3,6.6,13.8,4.9,9.2,1.7,4.6,4.7,5.6,3.3,5.0,8.3,1.9,2.1,1.5,2.6,2.9,19.5,.477,.528,.373,.833,.593,.539,F,SR,josh-howard-1
971,Justin James,606,SAC,2,40,2019,Wyoming,2017-18,Wyoming,32,32,31.1,6.6,13.9,5.3,9.8,1.3,4.1,4.6,6.3,0.6,5.4,6.0,3.1,1.1,0.5,2.5,2.5,18.9,.472,.540,.308,.726,.561,.517,G,JR,justin-james-2
972,Kenny Travis,606,LAL,6,115,1987,New Mexico State,1986-87,New Mexico State,30,25,31.3,6.9,14.0,5.4,10.8,1.5,3.2,5.0,6.9,,,7.3,2.6,1.8,0.6,3.8,3.2,20.2,.489,.497,.464,.723,.584,.543,G,SR,kenny-travis-1
973,Tyler Ulis,606,PHO,2,34,2016,Kentucky,2015-16,Kentucky,35,35,36.8,5.5,12.6,3.9,8.1,1.6,4.6,4.8,5.6,0.5,2.5,3.0,7.0,1.5,0.1,2.0,1.8,17.3,.434,.486,.344,.856,.567,.497,G,SO,tyler-ulis-1
974,Bubba Jennings,605,DAL,4,86,1985,Texas Tech,1984-85,Texas Tech,31,,34.6,8.1,14.7,8.1,14.7,,,3.4,3.9,,,2.3,3.1,1.4,0.2,2.1,2.7,19.5,.548,.548,,.868,.589,.548,G,SR,bubba-jennings-1
975,James Harden,605,OKC,1,3,2009,Arizona State,2007-08,Arizona State,34,33,34.1,5.8,10.9,4.5,7.8,1.3,3.2,5.0,6.6,1.3,4.0,5.3,3.2,2.1,0.6,2.6,2.1,17.8,.527,.576,.407,.754,.632,.586,G,FR,james-harden-1
976,Jason Sasser,605,SAC,2,41,1996,Texas Tech,1995-96,Texas Tech,31,31,34.5,6.5,14.2,5.5,11.0,1.0,3.3,5.5,7.5,,,7.8,2.9,0.7,0.1,2.8,2.1,19.5,.458,.503,.307,.726,.548,.493,F,SR,jason-sasser-1
977,Jeff Grayer,605,MIL,1,13,1988,Iowa State,1986-87,Iowa State,27,27,36.9,8.4,16.7,8.2,16.0,0.3,0.8,5.3,7.1,,,7.0,2.4,1.7,0.6,2.3,2.3,22.4,.504,.513,.333,.740,.557,.512,G,JR,jeff-grayer-1
978,Kenneth Faried,605,DEN,1,22,2011,Morehead State,2010-11,Morehead State,35,34,34.7,6.7,10.7,6.7,10.7,0.0,0.0,4.0,6.9,5.7,8.8,14.5,1.1,1.9,2.3,2.6,3.1,17.3,.623,.623,,.577,.619,.623,F,SR,kenneth-faried-1
979,Mike Dunleavy Jr,605,GSW,1,3,2002,Duke,2001-02,Duke,35,35,32.4,6.2,12.9,3.7,6.2,2.5,6.7,2.3,3.4,1.3,5.9,7.2,2.1,2.3,0.7,1.7,2.3,17.3,.483,.596,.378,.681,.596,.581,F,JR,mike-dunleavy-2
980,Sean Lampley,605,CHI,2,45,2001,California,2000-01,California,31,31,34.6,6.7,13.4,6.5,12.4,0.2,1.1,5.8,7.9,1.5,5.7,7.2,3.3,0.9,0.5,3.6,2.5,19.5,.502,.527,.212,.738,.569,.511,F,SR,sean-lampley-1
981,Tony Bennett,605,CHA,2,35,1992,Green Bay,1991-92,Green Bay,30,28,33.2,6.8,12.8,3.7,6.6,3.2,6.2,3.3,4.0,,,2.9,5.1,1.2,0.2,2.6,1.7,20.2,.534,.556,.511,.826,.685,.658,G,SR,tony-bennett-1
982,Chris Gatling,604,GSW,1,16,1991,Old Dominion,1988-89,Old Dominion,27,,31.1,8.9,14.4,8.9,14.4,0.0,0.0,4.7,6.6,,,9.0,0.9,1.4,2.3,2.9,3.3,22.4,.616,.616,,.704,.638,.616,F,SO,chris-gatling-1
983,Delonte West,604,BOS,1,24,2004,Saint Joseph's,2003-04,Saint Joseph's,32,32,33.5,6.6,13.0,4.9,8.8,1.8,4.3,3.9,4.3,1.2,4.2,5.4,4.7,1.7,0.2,2.6,1.9,18.9,.510,.557,.412,.892,.627,.577,G,JR,delonte-west-1
984,Ed Horton,604,WAS,2,39,1989,Iowa,1988-89,Iowa,33,33,31.9,7.6,13.7,7.5,13.5,0.0,0.2,3.1,5.5,,,10.6,2.1,0.9,0.4,3.8,3.1,18.3,.552,.557,.167,.569,.560,.553,F,SR,ed-horton-1
985,Kyle Korver,604,NJN,2,51,2003,Creighton,2002-03,Creighton,34,34,31.8,5.4,11.5,1.6,3.6,3.8,7.9,3.2,3.5,1.4,5.0,6.4,3.1,1.5,0.7,2.0,2.6,17.8,.468,.443,.480,.908,.674,.633,F,SR,kyle-korver-1
986,Nate Wolters,604,WAS,2,38,2013,South Dakota State,2010-11,South Dakota State,31,31,33.2,6.5,14.5,5.1,11.2,1.4,3.3,5.2,6.5,1.0,3.5,4.6,6.1,1.3,0.2,2.2,2.0,19.5,.448,.460,.408,.796,.555,.494,G,SO,nate-wolters-1
987,R.J. Hunter,604,BOS,1,28,2015,Georgia State,2013-14,Georgia State,33,32,33.5,5.5,12.4,2.5,4.7,3.0,7.7,4.3,4.9,0.3,4.2,4.6,1.7,1.9,0.9,1.2,2.3,18.3,.444,.523,.395,.882,.623,.566,G,SO,rj-hunter-1
988,Tod Murphy,604,OKC,3,53,1986,UC Irvine,1985-86,UC Irvine,30,,37.2,7.0,12.6,7.0,12.6,0.0,0.0,6.1,8.1,,,7.2,2.1,0.9,0.4,2.6,3.0,20.1,.558,.557,1.000,.746,.611,.560,C,SR,tod-murphy-1
989,Bubba Wells,603,DAL,2,35,1997,Austin Peay,1996-97,Austin Peay,19,18,36.1,11.5,22.1,9.0,16.2,2.5,5.8,6.3,8.7,,,7.1,2.2,1.3,0.6,3.1,2.9,31.7,.520,.555,.423,.727,.606,.576,F,SR,bubba-wells-1
990,DeJuan Wheat,603,LAL,2,52,1997,Louisville,1995-96,Louisville,34,,34.6,6.0,13.3,3.7,6.8,2.3,6.5,3.4,4.7,,,3.4,3.9,1.5,0.2,2.7,1.9,17.7,.451,.548,.351,.731,.571,.538,G,JR,dejuan-wheat-1
991,Dwayne Bacon,603,NOH,2,40,2017,Florida State,2016-17,Florida State,35,35,28.8,6.3,14.0,4.7,9.1,1.6,4.9,3.0,3.9,1.0,3.2,4.2,1.7,1.0,0.1,2.0,1.6,17.2,.452,.516,.333,.754,.544,.510,G,SO,dwayne-bacon-1
992,Fred Roberts,603,MIL,2,27,1982,Brigham Young,1980-81,Brigham Young,32,,37.1,6.8,11.7,6.8,11.7,,,5.3,6.9,,,8.0,3.4,0.8,0.4,3.3,2.8,18.8,.579,.579,,.777,.631,.579,F,JR,fred-roberts-1
993,Gary Payton,603,OKC,1,2,1990,Oregon State,1988-89,Oregon State,30,30,38.0,6.9,14.6,4.2,7.5,2.7,7.1,3.5,5.2,,,4.1,8.1,3.0,0.6,3.0,3.6,20.1,.475,.560,.385,.677,.589,.568,G,JR,gary-payton-1
994,Jeff Hodge,603,DAL,2,53,1989,South Alabama,1987-88,South Alabama,27,27,36.4,8.7,17.0,7.2,13.3,1.5,3.7,3.4,4.0,,,4.5,4.4,2.4,0.3,2.1,2.5,22.3,.512,.543,.400,.869,.591,.556,G,JR,jeff-hodge-1
995,Jeremy Lamb,603,HOU,1,12,2012,Connecticut,2011-12,Connecticut,34,34,37.2,6.4,13.4,4.3,7.1,2.1,6.2,2.9,3.6,0.9,3.9,4.9,1.7,1.2,0.6,2.0,1.7,17.7,.478,.601,.336,.810,.589,.556,G,SO,jeremy-lamb-1
996,Kenny Page,603,CLE,5,96,1981,New Mexico,1980-81,New Mexico,25,25,37.3,9.6,21.0,9.6,21.0,,,5.0,6.4,,,4.4,2.4,0.9,0.1,4.0,3.0,24.1,.455,.455,,.776,.501,.455,G,JR,kenny-page-1
997,Mike Bibby,603,MEM,1,2,1998,Arizona,1997-98,Arizona,35,35,32.0,6.0,12.9,3.8,7.2,2.2,5.7,3.1,4.1,,,3.0,5.7,2.4,0.2,2.2,1.6,17.2,.464,.526,.387,.755,.582,.550,G,SO,mike-bibby-1
998,Robert Brown,603,ATL,8,173,1984,LIU Brooklyn,1983-84,LIU Brooklyn,31,,,8.2,16.7,8.2,16.7,,,3.1,5.3,,,4.1,3.7,0.0,0.0,,,19.5,.489,.489,,.579,.505,.489,G,SR,robert-brown-5
