PLAYER,SALARY ($),SEASON
Michael Jordan,60429065,1996-1997
Horace Grant,29787479,1996-1997
Reggie Miller,22555639,1996-1997
Shaquille O'Neal,21480988,1996-1997
Gary Payton,20474506,1996-1997
David Robinson,19953220,1996-1997
Juwan Howard,19548221,1996-1997
Hakeem Olajuwon,19357751,1996-1997
Alonzo Mourning,18806391,1996-1997
Dennis Rodman,18044511,1996-1997
Dikembe Mutombo,16065630,1996-1997
Chris Webber,16039566,1996-1997
Otis Thorpe,14034620,1996-1997
Latrell Sprewell,14034620,1996-1997
Elden Campbell,14034620,1996-1997
Kevin Johnson,14034620,1996-1997
Danny Manning,13699794,1996-1997
Derrick Coleman,13511329,1996-1997
Anfernee Hardaway,13342914,1996-1997
Dale Davis,13048186,1996-1997
John Stockton,12029674,1996-1997
Clyde Drexler,11027201,1996-1997
Sean Elliott,10692375,1996-1997
Dino Radja,10652276,1996-1997
Antonio Davis,10425717,1996-1997
Shawn Bradley,10285371,1996-1997
Grant Hill,10074852,1996-1997
Larry Johnson,10032748,1996-1997
Tom Gugliotta,10024728,1996-1997
Allan Houston,10024728,1996-1997
A.C. Green,9725991,1996-1997
Vlade Divac,9459334,1996-1997
Charles Barkley,9413220,1996-1997
Karl Malone,9337032,1996-1997
Danny Ferry,9308963,1996-1997
Glenn Robinson,9302948,1996-1997
Christian Laettner,9022255,1996-1997
Steve Smith,9022255,1996-1997
Jason Kidd,8837800,1996-1997
Kenny Anderson,8370648,1996-1997
John Williams,8322529,1996-1997
Harvey Grant,8242332,1996-1997
Chris Dudley,8220277,1996-1997
Glen Rice,8023792,1996-1997
Rik Smits,8019783,1996-1997
Brian Shaw,8019783,1996-1997
Toni Kukoc,7939585,1996-1997
Jim Jackson,7819288,1996-1997
Ron Harper,7698991,1996-1997
Jamal Mashburn,7684957,1996-1997
Kendall Gill,7618793,1996-1997
Nick Anderson,7598744,1996-1997
Billy Owens,7564660,1996-1997
Vin Baker,7548620,1996-1997
Rony Seikaly,7522556,1996-1997
Isaiah Rider,7237854,1996-1997
Sherman Douglas,7205775,1996-1997
Mitch Richmond,7167681,1996-1997
Charles Smith,7131592,1996-1997
Tyrone Hill,6977211,1996-1997
Wayman Tisdale,6967186,1996-1997
Mark Price,6834860,1996-1997
Dana Barros,6816815,1996-1997
Bryant Stith,6816815,1996-1997
Donyell Marshall,6736617,1996-1997
Detlef Schrempf,6682484,1996-1997
Shawn Kemp,6616320,1996-1997
Clarence Weatherspoon,6616320,1996-1997
LaPhonso Ellis,6604291,1996-1997
Dee Brown,6516073,1996-1997
Stanley Roberts,6516073,1996-1997
Calbert Cheaney,6415826,1996-1997
Lionel Simmons,6403796,1996-1997
Olden Polynice,6295529,1996-1997
Loy Vaught,6215331,1996-1997
Mahmoud Abdul-Rauf,6215331,1996-1997
Sharone Wright,6215331,1996-1997
Joe Dumars,6165208,1996-1997
Bobby Hurley,6151173,1996-1997
Chris Gatling,6109069,1996-1997
Rod Strickland,6087015,1996-1997
Derrick McKey,6014837,1996-1997
Patrick Ewing,6014837,1996-1997
Jim McIlvaine,6014837,1996-1997
Dennis Scott,6014837,1996-1997
Clifford Robinson,5862461,1996-1997
Todd Day,5844416,1996-1997
Mark Jackson,5814342,1996-1997
Stojko Vrankovic,5814342,1996-1997
Ken Norman,5752189,1996-1997
Chris Mullin,5702065,1996-1997
Mookie Blaylock,5613848,1996-1997
Joe Smith,5601818,1996-1997
Luc Longley,5593798,1996-1997
Anthony Mason,5567734,1996-1997
Sam Perkins,5473501,1996-1997
Pooh Richardson,5455457,1996-1997
Robert Pack,5413353,1996-1997
Lamond Murray,5413353,1996-1997
Felton Spencer,5401323,1996-1997
Arvydas Sabonis,5293056,1996-1997
Hersey Hawkins,5220878,1996-1997
Charles Oakley,5212858,1996-1997
Chris Childs,5212858,1996-1997
Antonio McDyess,5102586,1996-1997
Sarunas Marciulionis,5012364,1996-1997
Tim Hardaway,5012364,1996-1997
Chris Morris,5012364,1996-1997
Stacey Augmon,4972265,1996-1997
Micheal Williams,4962240,1996-1997
Terry Mills,4926151,1996-1997
Marcus Camby,4880037,1996-1997
BJ Armstrong,4811869,1996-1997
Cedric Ceballos,4811869,1996-1997
Scott Williams,4811869,1996-1997
Jeff Hornacek,4803850,1996-1997
Gheorghe Muresan,4737686,1996-1997
Dan Majerle,4711622,1996-1997
Andrew Lang,4675533,1996-1997
Armen Gilliam,4645459,1996-1997
Terry Davis,4611375,1996-1997
Antoine Carr,4611375,1996-1997
Jerry Stackhouse,4583305,1996-1997
Kevin Edwards,4571276,1996-1997
Rodney Rogers,4571276,1996-1997
Allen Iverson,4545212,1996-1997
Grant Long,4531177,1996-1997
Jayson Williams,4511127,1996-1997
Scottie Pippen,4511127,1996-1997
John Salley,4461004,1996-1997
Duane Causwell,4440954,1996-1997
Shareef Abdur-Rahim,4382811,1996-1997
Doug West,4320658,1996-1997
Blue Edwards,4210386,1996-1997
George Lynch,4190336,1996-1997
Rasheed Wallace,4130188,1996-1997
Chuck Person,4130188,1996-1997
Reggie Williams,4106128,1996-1997
Vinny Del Negro,4056005,1996-1997
Mark West,4009891,1996-1997
Vincent Askew,4009891,1996-1997
PJ Brown,4009891,1996-1997
Elliot Perry,4009891,1996-1997
Adam Keefe,3909644,1996-1997
Stephon Marbury,3843481,1996-1997
John Starks,3835461,1996-1997
Terry Dehere,3819421,1996-1997
Nick Van Exel,3809396,1996-1997
Sasha Danilovic,3793357,1996-1997
Greg Anthony,3759273,1996-1997
Dell Curry,3669050,1996-1997
Bobby Phills,3624941,1996-1997
Greg Minor,3608902,1996-1997
Eddie Jones,3608902,1996-1997
Ray Allen,3578828,1996-1997
Don MacLean,3568803,1996-1997
Terry Porter,3558778,1996-1997
Pervis Ellison,3528704,1996-1997
Khalid Reeves,3512664,1996-1997
Rick Fox,3508655,1996-1997
Malik Sealy,3472566,1996-1997
Lindsey Hunter,3438481,1996-1997
Robert Horry,3414422,1996-1997
Donald Royal,3408407,1996-1997
Tracy Murray,3408407,1996-1997
Bryant Reeves,3398383,1996-1997
Kevin Garnett,3340239,1996-1997
Ervin Johnson,3280091,1996-1997
Antoine Walker,3248012,1996-1997
Dale Ellis,3207913,1996-1997
Brent Price,3207913,1996-1997
Popeye Jones,3169819,1996-1997
Muggsy Bogues,3157789,1996-1997
Michael Smith,3147764,1996-1997
Matt Geiger,3131725,1996-1997
Jalen Rose,3127715,1996-1997
Carl Herrera,3107665,1996-1997
Damon Stoudamire,3101651,1996-1997
Will Perdue,3095636,1996-1997
Anthony Peeler,3087616,1996-1997
Frank Brickowski,3007418,1996-1997
Kevin Willis,3007418,1996-1997
Lorenzen Wright,2967319,1996-1997
Michael Cage,2953285,1996-1997
Kenny Gattison,2907171,1996-1997
Yinka Dare,2903161,1996-1997
Marty Conlon,2902158,1996-1997
Shawn Respert,2841008,1996-1997
Bimbo Coles,2806924,1996-1997
Mario Elie,2806924,1996-1997
Eric Piatkowski,2732741,1996-1997
Kerry Kittles,2718706,1996-1997
Nate McMillan,2716701,1996-1997
Doug Christie,2716701,1996-1997
Brooks Thompson,2671188,1996-1997
Greg Graham,2666577,1996-1997
Terrell Brandon,2630488,1996-1997
Ed O'Bannon,2612444,1996-1997
Randy Brown,2606429,1996-1997
Derek Harper,2606429,1996-1997
Hubert Davis,2596404,1996-1997
Brian Grant,2592394,1996-1997
Eric Montross,2566330,1996-1997
Samaki Walker,2498162,1996-1997
Kurt Thomas,2482122,1996-1997
Scott Burrell,2476108,1996-1997
Chris Mills,2476108,1996-1997
Sam Cassell,2476108,1996-1997
Corie Blount,2476108,1996-1997
James Robinson,2476108,1996-1997
Rex Walters,2476108,1996-1997
Joe Kleine,2476108,1996-1997
Acie Earl,2476108,1996-1997
Johnny Newman,2456058,1996-1997
Ricky Pierce,2405934,1996-1997
Eddie Johnson,2405934,1996-1997
Sean Rooks,2405934,1996-1997
Sam Mitchell,2405934,1996-1997
Lucious Harris,2405934,1996-1997
Kevin Gamble,2397915,1996-1997
Buck Williams,2391900,1996-1997
Erick Dampier,2373855,1996-1997
Gary Trent,2357816,1996-1997
Jon Koncak,2305687,1996-1997
Mark Bryant,2305687,1996-1997
Carlos Rogers,2293657,1996-1997
Todd Fuller,2255563,1996-1997
Bill Curley,2251554,1996-1997
Tony Dumas,2245539,1996-1997
Cherokee Parks,2239524,1996-1997
George McCloud,2205440,1996-1997
Lee Mayberry,2205440,1996-1997
Haywoode Workman,2165341,1996-1997
Tom Hammonds,2145291,1996-1997
Vitaly Potapenko,2141282,1996-1997
Corliss Williamson,2107197,1996-1997
Dickey Simpkins,2085143,1996-1997
Duane Ferrell,2085143,1996-1997
Clifford Rozier,2085143,1996-1997
Wesley Person,2085143,1996-1997
Aaron McKie,2085143,1996-1997
Avery Johnson,2085143,1996-1997
Monty Williams,2085143,1996-1997
B.J. Tyler,2085143,1996-1997
Kobe Bryant,2035019,1996-1997
Eric Williams,2020985,1996-1997
Bill Wennington,2004945,1996-1997
Robert Parish,2004945,1996-1997
Vernon Maxwell,2004945,1996-1997
Jamie Watson,2004945,1996-1997
Eric Mobley,1988906,1996-1997
Brent Barry,1920738,1996-1997
Lorenzo Williams,1884649,1996-1997
Steve Nash,1836530,1996-1997
Alan Henderson,1824500,1996-1997
Charlie Ward,1780391,1996-1997
Tony Delk,1744302,1996-1997
Bob Sura,1732273,1996-1997
Jermaine O'Neal,1658090,1996-1997
Theo Ratliff,1646060,1996-1997
Zan Tabak,1603956,1996-1997
John Wallace,1573882,1996-1997
Randolph Childress,1571877,1996-1997
Herb Williams,1517743,1996-1997
Steve Kerr,1503709,1996-1997
Chris Carr,1503709,1996-1997
Walter McCarty,1503709,1996-1997
Michael Finley,1449575,1996-1997
Zydrunas Ilgauskas,1443560,1996-1997
Jason Caffey,1403462,1996-1997
Pete Chilcutt,1403462,1996-1997
George Zidek,1391432,1996-1997
Dontae' Jones,1385417,1996-1997
Travis Best,1335293,1996-1997
Roy Rogers,1331283,1996-1997
Keith Askins,1303214,1996-1997
Loren Meyer,1281160,1996-1997
Dwayne Schintzius,1253091,1996-1997
David Vaughn,1231036,1996-1997
Derek Fisher,1227026,1996-1997
Bo Outlaw,1202967,1996-1997
Mitchell Butler,1202967,1996-1997
Greg Anderson,1170888,1996-1997
Danny Schayes,1152843,1996-1997
Greg Ostertag,1148833,1996-1997
Jerome Williams,1138809,1996-1997
David Wingate,1122769,1996-1997
Mario Bennett,1112744,1996-1997
Brian Evans,1104725,1996-1997
Priest Lauderdale,1098710,1996-1997
Cory Alexander,1044576,1996-1997
Antonio Lang,1042571,1996-1997
David Benoit,1018512,1996-1997
Alton Lister,1002472,1996-1997
Jud Buechler,1002472,1996-1997
Gary Grant,1002472,1996-1997
Chucky Brown,1002472,1996-1997
Sherell Ford,1002472,1996-1997
Dontonio Wingfield,1002472,1996-1997
Brad Lohaus,972398,1996-1997
Donny Marshall,902225,1996-1997
Tim Legler,902225,1996-1997
Greg Foster,842077,1996-1997
Darrell Armstrong,822027,1996-1997
Martin Muursepp,803983,1996-1997
Don Reid,801978,1996-1997
Michael Curry,801978,1996-1997
Rick Mahorn,801978,1996-1997
Joe Wolf,801978,1996-1997
Chris Whitney,801978,1996-1997
Bryon Russell,771904,1996-1997
Darrick Martin,751854,1996-1997
Craig Ehlo,721780,1996-1997
David Wesley,701731,1996-1997
Jimmy King,661632,1996-1997
Lawrence Moten,643587,1996-1997
Shane Heal,641582,1996-1997
Shawnelle Scott,601483,1996-1997
Ed Pinckney,601483,1996-1997
Howard Eisley,597473,1996-1997
Fred Hoiberg,595468,1996-1997
Rafael Addison,581434,1996-1997
Andrew DeClercq,553365,1996-1997
Steve Scheffler,551360,1996-1997
Xavier McDaniel,509256,1996-1997
Anthony Goldwire,501236,1996-1997
Jon Barry,496224,1996-1997
Eldridge Recasner,496224,1996-1997
Tyrone Corbin,496224,1996-1997
Donnie Boyce,496224,1996-1997
Ivano Newbill,496224,1996-1997
Willie Burton,496224,1996-1997
Tony Massenburg,496224,1996-1997
Tony Smith,496224,1996-1997
Carl Thomas,496224,1996-1997
Oliver Miller,496224,1996-1997
Fred Roberts,496224,1996-1997
Greg Dreiling,496224,1996-1997
Keith Jennings,496224,1996-1997
LaSalle Thompson,496224,1996-1997
Litterial Green,496224,1996-1997
Lou Roe,496224,1996-1997
Mike Peplowski,496224,1996-1997
Matt Bullard,496224,1996-1997
Matt Maloney,496224,1996-1997
Othella Harrington,496224,1996-1997
Sam Mack,496224,1996-1997
Charles Jones,496224,1996-1997
Tracy Moore,496224,1996-1997
Brent Scott,496224,1996-1997
Jerome Allen,496224,1996-1997
Kevin Duckworth,496224,1996-1997
Jerome Kersey,496224,1996-1997
Byron Scott,496224,1996-1997
Rumeal Robinson,496224,1996-1997
Doug Edwards,496224,1996-1997
Rich Manning,496224,1996-1997
Isaac Austin,496224,1996-1997
Mark Strickland,496224,1996-1997
Voshon Lenard,496224,1996-1997
Tony Farmer,496224,1996-1997
David Wood,496224,1996-1997
Dean Garrett,496224,1996-1997
Chris Jent,496224,1996-1997
Eric Leckner,496224,1996-1997
Scott Brooks,496224,1996-1997
Antonio Harvey,496224,1996-1997
Eric Snow,496224,1996-1997
Larry Stewart,496224,1996-1997
Gerald Wilkins,496224,1996-1997
Derek Strong,496224,1996-1997
Doug Overton,496224,1996-1997
Mark Bradtke,496224,1996-1997
Mark Davis,496224,1996-1997
Rex Chapman,496224,1996-1997
Darrin Hancock,496224,1996-1997
Reggie Jordan,496224,1996-1997
Tyus Edney,496224,1996-1997
Kevin Salvadori,496224,1996-1997
Dominique Wilkins,496224,1996-1997
Walt Williams,496224,1996-1997
Ben Wallace,496224,1996-1997
Jaren Jackson Jr,496224,1996-1997
Ashraf Amaya,496224,1996-1997
Matt Fish,496224,1996-1997
Mark Hendrickson,495221,1996-1997
Brett Szabo,441088,1996-1997
Steve Hamer,441088,1996-1997
Malik Rose,441088,1996-1997
Carlos Strong,441088,1996-1997
Reggie Geary,441088,1996-1997
Erick Strickland,441088,1996-1997
Darvin Ham,441088,1996-1997
Marcus Mann,441088,1996-1997
Ray Owes,441088,1996-1997
Emanual Davis,441088,1996-1997
Randy Livingston,441088,1996-1997
Travis Knight,441088,1996-1997
Chris Robinson,441088,1996-1997
James Scott,441088,1996-1997
Virginijus Praskevicius,441088,1996-1997
Amal McCaskill,441088,1996-1997
Ben Davis,441088,1996-1997
Marcus Brown,441088,1996-1997
Donald Whiteside,441088,1996-1997
Shandon Anderson,441088,1996-1997
Earl Cureton,411414,1996-1997
John Long,411414,1996-1997
Kenny Smith,381140,1996-1997
Lloyd Daniels,369110,1996-1997
Henry James,363095,1996-1997
Stephen Howard,363095,1996-1997
Aaron Williams,338835,1996-1997
Robert Werdann,332820,1996-1997
Gaylon Nickerson,306556,1996-1997
Michael Jordan,64951712,1997-1998
Patrick Ewing,40178337,1997-1998
Horace Grant,27998840,1997-1998
Shaquille O'Neal,25198957,1997-1998
David Robinson,24297976,1997-1998
Alonzo Mourning,22058495,1997-1998
Juwan Howard,22049087,1997-1998
Hakeem Olajuwon,21864855,1997-1998
Gary Payton,20607935,1997-1998
Dikembe Mutombo,18844986,1997-1998
Reggie Miller,17701693,1997-1998
Chris Webber,17639270,1997-1998
Shawn Kemp,16855302,1997-1998
Larry Johnson,16582313,1997-1998
Derrick Coleman,15684838,1997-1998
Kevin Johnson,15679351,1997-1998
Latrell Sprewell,15228569,1997-1998
Anfernee Hardaway,14856185,1997-1998
Elden Campbell,13719432,1997-1998
Danny Manning,13392778,1997-1998
Robert Horry,11759513,1997-1998
Allan Houston,11759513,1997-1998
Shawn Bradley,11641918,1997-1998
Grant Hill,11465525,1997-1998
Otis Thorpe,11171537,1997-1998
Glenn Robinson,10799153,1997-1998
Clyde Drexler,10779553,1997-1998
Tom Gugliotta,10779553,1997-1998
Steve Smith,10583562,1997-1998
Sean Elliott,10452900,1997-1998
Dale Davis,10335305,1997-1998
Jason Kidd,10237309,1997-1998
Karl Malone,10031997,1997-1998
John Starks,10020085,1997-1998
A.C. Green,9985959,1997-1998
Christian Laettner,9897590,1997-1998
Kenny Anderson,9819193,1997-1998
Brian Grant,9799594,1997-1998
John Stockton,9799594,1997-1998
Vlade Divac,9472940,1997-1998
Tim Hardaway,9407610,1997-1998
Glen Rice,9215538,1997-1998
Harvey Grant,9156496,1997-1998
Jim Jackson,9015626,1997-1998
Charles Smith,8969260,1997-1998
Ron Harper,8937230,1997-1998
Toni Kukoc,8937230,1997-1998
John Williams,8917631,1997-1998
Dennis Rodman,8819635,1997-1998
Antonio Davis,8819635,1997-1998
Jamal Mashburn,8688975,1997-1998
Kendall Gill,8623643,1997-1998
Sherman Douglas,8422260,1997-1998
Billy Owens,8281049,1997-1998
Isaiah Rider,8251258,1997-1998
Jeff Hornacek,8221859,1997-1998
Tyrone Hill,8055266,1997-1998
Mark Price,8017871,1997-1998
Vin Baker,7965841,1997-1998
Bison Dele,7937671,1997-1998
Bryant Stith,7898473,1997-1998
Rony Seikaly,7843595,1997-1998
Danny Ferry,7839675,1997-1998
Rik Smits,7839675,1997-1998
Nick Anderson,7839675,1997-1998
Donyell Marshall,7820076,1997-1998
PJ Brown,7535496,1997-1998
Brian Shaw,7349695,1997-1998
Stanley Roberts,7349695,1997-1998
Walt Williams,7349695,1997-1998
Lionel Simmons,7284038,1997-1998
Dell Curry,7173303,1997-1998
Chris Gatling,7166247,1997-1998
LaPhonso Ellis,7153703,1997-1998
Olden Polynice,7075307,1997-1998
Derrick McKey,7055708,1997-1998
Jim McIlvaine,7055708,1997-1998
Calbert Cheaney,7055708,1997-1998
Stojko Vrankovic,7016509,1997-1998
Bobby Hurley,6961631,1997-1998
Dee Brown,6859716,1997-1998
Wesley Person,6859716,1997-1998
Nate McMillan,6859716,1997-1998
Sharone Wright,6859716,1997-1998
Anthony Mason,6803858,1997-1998
Rod Strickland,6761720,1997-1998
Dana Barros,6663724,1997-1998
Sam Perkins,6604926,1997-1998
Loy Vaught,6565728,1997-1998
Detlef Schrempf,6533062,1997-1998
Ken Norman,6530449,1997-1998
Mahmoud Abdul-Rauf,6467732,1997-1998
Robert Pack,6350137,1997-1998
Mark Jackson,6271740,1997-1998
Luc Longley,6242145,1997-1998
Joe Smith,6203456,1997-1998
Allen Iverson,6131880,1997-1998
Hersey Hawkins,6122982,1997-1998
Chris Childs,6114946,1997-1998
Arvydas Sabonis,6036550,1997-1998
Mookie Blaylock,5879756,1997-1998
Joe Dumars,5879756,1997-1998
Chris Mills,5879756,1997-1998
Mitch Richmond,5879756,1997-1998
Avery Johnson,5879756,1997-1998
Chris Morris,5879756,1997-1998
Tim Duncan,5816725,1997-1998
Chris Mullin,5765101,1997-1998
Dennis Scott,5722963,1997-1998
Bobby Phills,5683764,1997-1998
Lamond Murray,5683764,1997-1998
Antonio McDyess,5637981,1997-1998
Bryon Russell,5599770,1997-1998
Charles Oakley,5585768,1997-1998
Scott Williams,5585768,1997-1998
Pooh Richardson,5528362,1997-1998
Dan Majerle,5526971,1997-1998
Clarence Weatherspoon,5487772,1997-1998
Stacey Augmon,5487772,1997-1998
Marcus Camby,5486283,1997-1998
Armen Gilliam,5449358,1997-1998
Scottie Pippen,5438774,1997-1998
Micheal Williams,5438774,1997-1998
Andrew Lang,5291781,1997-1998
Keith Van Horn,5204290,1997-1998
Kevin Edwards,5174185,1997-1998
Rodney Rogers,5174185,1997-1998
Grant Long,5116044,1997-1998
Cedric Ceballos,5105588,1997-1998
BJ Armstrong,5095789,1997-1998
Jerry Stackhouse,5063176,1997-1998
Doug West,4968394,1997-1998
Shareef Abdur-Rahim,4926765,1997-1998
Dino Radja,4899797,1997-1998
Jayson Williams,4899797,1997-1998
Sam Cassell,4899797,1997-1998
Chuck Person,4840999,1997-1998
Mario Elie,4762602,1997-1998
Chauncey Billups,4673701,1997-1998
Voshon Lenard,4634418,1997-1998
Rasheed Wallace,4564807,1997-1998
Blue Edwards,4507813,1997-1998
Adam Keefe,4507813,1997-1998
Vinny Del Negro,4505416,1997-1998
Ervin Johnson,4470825,1997-1998
Stephon Marbury,4441803,1997-1998
Charles Barkley,4409817,1997-1998
Mark Bryant,4409817,1997-1998
Felton Spencer,4268897,1997-1998
Greg Minor,4233424,1997-1998
Antonio Daniels,4213668,1997-1998
Don MacLean,4155028,1997-1998
George Lynch,4145228,1997-1998
Kevin Garnett,4133704,1997-1998
Pervis Ellison,4096230,1997-1998
Michael Cage,4028458,1997-1998
Ray Allen,4022459,1997-1998
Elmore Spencer,4017833,1997-1998
Tracy Murray,3998234,1997-1998
Doug Christie,3944860,1997-1998
Anthony Peeler,3944336,1997-1998
Travis Knight,3919837,1997-1998
Eddie Jones,3919837,1997-1998
Elliot Perry,3919837,1997-1998
Terry Porter,3919837,1997-1998
Will Perdue,3895338,1997-1998
Tony Battie,3815726,1997-1998
Brent Price,3763044,1997-1998
Dale Ellis,3763044,1997-1998
Michael Smith,3763044,1997-1998
Bryant Reeves,3754577,1997-1998
Nick Van Exel,3723845,1997-1998
Carlos Rogers,3723845,1997-1998
Gheorghe Muresan,3699346,1997-1998
Popeye Jones,3697461,1997-1998
Antoine Walker,3653445,1997-1998
Jalen Rose,3630749,1997-1998
Khalid Reeves,3629769,1997-1998
Carl Herrera,3567052,1997-1998
David Wesley,3527854,1997-1998
Muggsy Bogues,3527854,1997-1998
Bill Wennington,3527854,1997-1998
Dean Garrett,3527854,1997-1998
Kevin Willis,3527854,1997-1998
Ron Mercer,3465763,1997-1998
Lindsey Hunter,3429858,1997-1998
Damon Stoudamire,3427427,1997-1998
Lorenzen Wright,3335233,1997-1998
Bimbo Coles,3331862,1997-1998
Tim Thomas,3163779,1997-1998
Shawn Respert,3140025,1997-1998
Erick Strickland,3135870,1997-1998
Antoine Carr,3135870,1997-1998
Eric Piatkowski,3111371,1997-1998
Derek Harper,3057473,1997-1998
Kerry Kittles,3055591,1997-1998
Yinka Dare,3042774,1997-1998
Greg Graham,3018275,1997-1998
Eric Montross,2979076,1997-1998
James Robinson,2939878,1997-1998
Adonal Foyle,2930078,1997-1998
Erick Dampier,2898484,1997-1998
Ed O'Bannon,2886254,1997-1998
Tree Rollins,2881080,1997-1998
Terrell Brandon,2879983,1997-1998
Lucious Harris,2822283,1997-1998
Sean Rooks,2822283,1997-1998
Samaki Walker,2808642,1997-1998
Buck Williams,2804643,1997-1998
Scott Burrell,2802684,1997-1998
Corie Blount,2802684,1997-1998
Doug Edwards,2802684,1997-1998
Acie Earl,2802684,1997-1998
Rex Walters,2802684,1997-1998
Kevin Gamble,2783574,1997-1998
Matt Geiger,2747806,1997-1998
Sam Mitchell,2743886,1997-1998
Kurt Thomas,2741848,1997-1998
Tracy McGrady,2664235,1997-1998
Bill Curley,2614139,1997-1998
Tony Dumas,2606692,1997-1998
Gary Trent,2604749,1997-1998
Johnny Newman,2596892,1997-1998
Lee Mayberry,2587092,1997-1998
Todd Fuller,2534645,1997-1998
Danny Fortson,2531117,1997-1998
Cherokee Parks,2474672,1997-1998
Randy Brown,2469497,1997-1998
Haywoode Workman,2469497,1997-1998
Howard Eisley,2430299,1997-1998
Aaron McKie,2420499,1997-1998
Dickey Simpkins,2420499,1997-1998
Duane Ferrell,2420499,1997-1998
Monty Williams,2420499,1997-1998
Vitaly Potapenko,2407877,1997-1998
Tariq Abdul-Wahad,2404585,1997-1998
Duane Causwell,2374843,1997-1998
Andrew DeClercq,2351902,1997-1998
Keith Closs,2351902,1997-1998
B.J. Tyler,2351902,1997-1998
Shandon Anderson,2351902,1997-1998
Chris Whitney,2351902,1997-1998
Corliss Williamson,2350961,1997-1998
Eric Mobley,2308784,1997-1998
Kobe Bryant,2287695,1997-1998
Austin Croshere,2284167,1997-1998
Robert Parish,2253906,1997-1998
Malik Sealy,2253906,1997-1998
Eric Williams,2233366,1997-1998
Chris Dudley,2224507,1997-1998
Lorenzo Williams,2210788,1997-1998
Derek Anderson,2170100,1997-1998
Tim Legler,2165710,1997-1998
Brent Barry,2121651,1997-1998
Charlie Ward,2066734,1997-1998
Steve Nash,2064500,1997-1998
Maurice Taylor,2061442,1997-1998
Alan Henderson,2015580,1997-1998
Clifford Rozier,2003526,1997-1998
Tony Delk,1961251,1997-1998
Henry James,1959918,1997-1998
Don Reid,1959918,1997-1998
Rick Fox,1959918,1997-1998
Terry Mills,1959918,1997-1998
Bo Outlaw,1959918,1997-1998
Terry Cummings,1959918,1997-1998
Clifford Robinson,1959918,1997-1998
Kelvin Cato,1958429,1997-1998
Bob Sura,1914683,1997-1998
Tom Hammonds,1901121,1997-1998
Jermaine O'Neal,1863177,1997-1998
Zan Tabak,1861922,1997-1998
Brevin Knight,1860590,1997-1998
Theo Ratliff,1818961,1997-1998
John Wallace,1770041,1997-1998
Mario Bennett,1768825,1997-1998
Johnny Taylor,1767611,1997-1998
Chris Carr,1763927,1997-1998
Terry Dehere,1736732,1997-1998
Walter McCarty,1690547,1997-1998
Jason Caffey,1667734,1997-1998
Zydrunas Ilgauskas,1622812,1997-1998
Scot Pollard,1603527,1997-1998
Michael Finley,1600940,1997-1998
Dontae' Jones,1557900,1997-1998
Paul Grant,1539320,1997-1998
George Zidek,1536968,1997-1998
Herb Williams,1502605,1997-1998
Roy Rogers,1495574,1997-1998
Randolph Childress,1489538,1997-1998
Anthony Parker,1477935,1997-1998
Travis Best,1473859,1997-1998
Steve Kerr,1469939,1997-1998
Tony Massenburg,1469939,1997-1998
Keith Askins,1469939,1997-1998
Ed Gray,1418667,1997-1998
Loren Meyer,1416550,1997-1998
Chris Anstey,1399186,1997-1998
Eric Snow,1384290,1997-1998
Derek Fisher,1378214,1997-1998
Pete Chilcutt,1371943,1997-1998
Bobby Jackson,1361986,1997-1998
David Vaughn,1359870,1997-1998
Danny Schayes,1352344,1997-1998
Martin Muursepp,1323180,1997-1998
Sherell Ford,1314713,1997-1998
Jerome Williams,1279435,1997-1998
J.R. Reid,1273947,1997-1998
Mark West,1273947,1997-1998
Greg Ostertag,1268851,1997-1998
John Thomas,1255210,1997-1998
Priest Lauderdale,1234748,1997-1998
Eddie Johnson,1228280,1997-1998
David Benoit,1193778,1997-1998
Brian Evans,1190738,1997-1998
Jacque Vaughn,1178538,1997-1998
Dontonio Wingfield,1175951,1997-1998
Gary Grant,1175951,1997-1998
Keith Booth,1171247,1997-1998
David Wingate,1117153,1997-1998
Cory Alexander,1102219,1997-1998
Rodrick Rhodes,1089518,1997-1998
Donny Marshall,1058356,1997-1998
Hubert Davis,1053456,1997-1998
Greg Foster,987799,1997-1998
Jud Buechler,979959,1997-1998
Shawnelle Scott,979959,1997-1998
Randy Woods,979959,1997-1998
Marcus Brown,979959,1997-1998
Michael Curry,979959,1997-1998
Aaron Williams,979959,1997-1998
Jerome Kersey,979959,1997-1998
Lawrence Funderburke,979959,1997-1998
Joe Wolf,940761,1997-1998
Rick Mahorn,940761,1997-1998
Sam Mack,891763,1997-1998
Craig Ehlo,846843,1997-1998
Darrick Martin,845215,1997-1998
Bruce Bowen,828065,1997-1998
John Crotty,823165,1997-1998
Tyus Edney,783967,1997-1998
Isaac Austin,752608,1997-1998
Shane Heal,752608,1997-1998
Fred Hoiberg,698515,1997-1998
Darrell Armstrong,685971,1997-1998
Reggie Slater,685971,1997-1998
Anthony Goldwire,646773,1997-1998
Steve Scheffler,646773,1997-1998
Eldridge Recasner,640305,1997-1998
Tyrone Corbin,640305,1997-1998
Emanual Davis,640305,1997-1998
Matt Bullard,640305,1997-1998
Matt Maloney,640305,1997-1998
Othella Harrington,640305,1997-1998
Randy Livingston,640305,1997-1998
Derek Strong,640305,1997-1998
Gerald Wilkins,640305,1997-1998
Doug Overton,640305,1997-1998
Mark Davis,640305,1997-1998
Rex Chapman,640305,1997-1998
